D058165	22q11 Deletion Syndrome
C535349	Cayler cardiofacial syndrome
C535350	Cerebellar ataxia ectodermal dysplasia
C535353	Cerebellar hypoplasia with endosteal sclerosis
D028243	Cerebral Amyloid Angiopathy, Familial
C537948	Ceroid lipofuscinosis, neuronal 1, infantile
C537955	Cerulean cataract
C536560	Chanarin-Dorfman Syndrome
D002607	Charcot-Marie-Tooth Disease
C538078	Charcot-Marie-Tooth disease and deafness
C537984	Charcot-Marie-Tooth disease, Type 1C
C537985	Charcot-Marie-Tooth disease, Type 1D
C537986	Charcot-Marie-Tooth disease, Type 1E
C537990	Charcot-Marie-Tooth disease, Type 2B1
C537991	Charcot-Marie-Tooth disease, Type 2B2
C535415	Charcot-Marie-Tooth disease, Type 2H
C535419	Charcot-Marie-Tooth disease, Type 4A
C535420	Charcot-Marie-Tooth disease, Type 4B1
C535421	Charcot-Marie-Tooth disease, Type 4B2
C535423	Charcot-Marie-Tooth disease, Type 4C
C535301	Charcot-Marie-Tooth disease, Type 4E
C535919	Charcot-Marie-Tooth disease, X-linked, 1
D058747	CHARGE Syndrome
D002609	Chediak-Higashi Syndrome
C535921	Cheilitis glandularis
D002636	Cherubism
C535924	Chilblain lupus 1
D002659	Child Development Disorders, Pervasive
D002754	Choanal Atresia
D018281	Cholangiocarcinoma
D002771	Cholera
C535933	Cholestasis, progressive familial intrahepatic 1
C535934	Cholestasis, progressive familial intrahepatic 2
C535935	Cholestasis, progressive familial intrahepatic 3
C537914	Chondrodysplasia, blomstrand type
D002806	Chondrodysplasia Punctata
D018902	Chondrodysplasia Punctata, Rhizomelic
D002813	Chondrosarcoma
D002817	Chordoma
D002819	Chorea
C535356	Chorioretinal atrophy, progressive bifocal
C535358	Choroidal sclerosis
D015794	Choroideremia
D002862	Chromoblastomycosis
C538086	Chromosome 10 ring
C538294	Chromosome 11, partial trisomy 11q
C538295	Chromosome 11p, partial deletion
C538303	Chromosome 13 ring
C538034	Chromosome 14q, terminal duplication
C535489	Chromosome 14, trisomy mosaic
C538035	Chromosome 15 ring
C538037	Chromosome 15, trisomy mosaicism
C538046	Chromosome 17 ring
C536579	Chromosome 17, trisomy 17q22
C538304	Chromosome 18 ring
C538307	Chromosome 18, trisomy 18p
C535361	Chromosome 1 ring
C535369	Chromosome 20 ring
C537109	Chromosome 21 ring
C536795	Chromosome 22 ring
C538316	Chromosome 2, monosomy 2q24
C538317	Chromosome 2q37 deletion syndrome
C536808	Chromosome 3, monosomy 3q13
C537763	Chromosome 6 ring syndrome
C537813	Chromosome 7 ring syndrome
C537822	Chromosome 7, trisomy mosaic
C537940	Chromosome 8, mosaic trisomy
C537824	Chromosome 8 ring
C538020	Chromosome 8, trisomy 8q
C538022	Chromosome 9 Ring
C538027	Chromosome 9, tetrasomy 9p
C535454	Chromosome 9, trisomy mosaic
D002869	Chromosome Aberrations
D015267	Churg-Strauss Syndrome
C535460	Chylomicron retention disease
D002915	Chylous Ascites
D020159	Citrullinemia
D054221	Classical Lissencephalies and Subcortical Band Heterotopias
D002972	Cleft Palate
D002973	Cleidocranial Dysplasia
D003047	Coccidioidomycosis
D003057	Cockayne Syndrome
C536434	CODAS syndrome
D038921	Coffin-Lowry Syndrome
C536436	Coffin-Siris syndrome
D055952	Cogan Syndrome
C536438	Cohen syndrome
C535963	Cole Carpenter syndrome
C535969	Coloboma of macula type B brachydactyly
D003121	Colorado Tick Fever
D003123	Colorectal Neoplasms, Hereditary Nonpolyposis
D017074	Common Variable Immunodeficiency
D020918	Complex Regional Pain Syndromes
D058617	Composite Lymphoma
C535978	Congenital adrenal hyperplasia due to 11-Beta-hydroxylase deficiency
C535982	Congenital amegakaryocytic thrombocytopenia
C538259	Congenital atransferrinemia
C535984	Congenital bilateral aplasia of vas deferens
C536209	Congenital central hypoventilation syndrome
C536210	Congenital chloride diarrhea
C536211	Congenital contractural arachnodactyly
C535758	Congenital heart block
D044903	Congenital Hyperinsulinism
C538389	Congenital hypertrichosis lanuginosa
D003409	Congenital Hypothyroidism
C535735	Congenital lobar emphysema
C531735	Congenital macroglossia
C557675	Congenital tracheomalacia
C535465	Contractures ectodermal dysplasia cleft lip palate
C535466	Convulsions benign familial neonatal dominant form
C535468	Copper deficiency, familial benign
D046349	Coproporphyria, Hereditary
C535472	Corneal cerebellar syndrome
D003317	Corneal Dystrophies, Hereditary
C535473	Corneal dystrophy and perceptive deafness
C535474	Corneal dystrophy Avellino type
C535475	Corneal Dystrophy, Crystalline, of Schnyder
C535480	Corneal dystrophy, gelatinous drop-like
D053559	Corneal Dystrophy, Juvenile Epithelial of Meesmann
C535476	Corneal dystrophy of Bowman layer, type 1
C535942	Corneal dystrophy, Thiel-Behnke type
C536444	Corneodermatoosseous syndrome
C536446	Corpus callosum agenesis neuronopathy
C535311	Costeff optic atrophy syndrome
D056685	Costello Syndrome
C536448	Costocoracoid ligament congenitally short
C536452	Crane-Heise syndrome
C536453	Craniofacial deafness hand syndrome
C536455	Craniofacial dyssynostosis
C536456	Craniofrontonasal dysplasia
D003397	Craniopharyngioma
D003398	Craniosynostoses
C536789	Craniosynostosis, anal anomalies, and porokeratosis
C536788	Craniosynostosis radial aplasia syndrome
C535597	Craniotelencephalic dysplasia
D017675	CREST Syndrome
D007562	Creutzfeldt-Jakob Syndrome
D003410	Cri-du-Chat Syndrome
D003414	Crigler-Najjar Syndrome
C536213	Crigler Najjar syndrome, type 2
C536214	Crisponi syndrome
D056587	Cryopyrin-Associated Periodic Syndromes
D003453	Cryptococcosis
D018549	Cryptogenic Organizing Pneumonia
C536221	Currarino triad
C536223	Cushing's symphalangism
D003480	Cushing Syndrome
C536224	Cutaneous photosensitivity and colitis, lethal
D003483	Cutis Laxa
C536226	Cutis marmorata telangiectatica congenita
C536227	Cyclic neutropenia
C536229	Cyprus facial neuromusculoskeletal syndrome
D003551	Cysticercosis
D003550	Cystic Fibrosis
D003554	Cystinosis
D003555	Cystinuria
D018856	Cystitis, Interstitial
C535766	Czech dysplasia, metatarsal type
C535769	Dahlberg Borer Newcomer syndrome
C535771	Dandy Walker malformation postaxial polydactyly
D007644	Darier Disease
C535993	Deafness conductive ptosis skeletal anomalies
C535994	Deafness enamel hypoplasia nail defects
C538049	Deafness oligodontia syndrome
C535990	De Barsy syndrome
D003635	De Lange Syndrome
C538209	Dementia, familial Danish
D054740	Dendritic Cell Sarcoma, Follicular
D054739	Dendritic Cell Sarcoma, Interdigitating
D003715	Dengue
D057973	Dent Disease
C538212	Dent disease 1
D003805	Dentin Dysplasia
C538213	Dentin dysplasia sclerotic bones
C538215	Dentin dysplasia, type 1
D003811	Dentinogenesis Imperfecta
D030321	Denys-Drash Syndrome
D003874	Dermatitis Herpetiformis
C538220	Dermatoleukodystrophy
D003882	Dermatomyositis
C535373	Dermatoosteolysis Kirghizian type
C535374	Dermatopathia pigmentosa reticularis
C535992	De Sanctis-Cacchione syndrome
C535943	Desbuquois syndrome
D058405	Desmoplastic Small Round Cell Tumor
D003914	Dextrocardia
C535767	D-glycericacidemia
D018500	Diabetes Insipidus, Nephrogenic
D020790	Diabetes Insipidus, Neurogenic
C536169	Diaphyseal medullary stenosis with malignant fibrous histiocytoma
C536171	Dicarboxylicaminoaciduria
C531609	Diffuse alopecia
D002549	Diffuse Cerebral Sclerosis of Schilder
C536174	Diffuse panbronchiolitis
D054067	Dihydropyrimidine Dehydrogenase Deficiency
D004165	Diphtheria
D004184	Dirofilariasis
D058490	Disorder of Sex Development, 46,XY
D012734	Disorders of Sex Development
C536816	Distal myopathy, Nonaka type
C538087	Distal Trisomy 10q Syndrome
C538618	Donath-Landsteiner hemolytic anemia
C536390	Donnai-Barrow syndrome
D056731	Donohue Syndrome
C535600	dopamine beta hydroxylase deficiency
D004310	Double Outlet Right Ventricle
D004314	Down Syndrome
D004320	Dracunculiasis
D004370	Duane Retraction Syndrome
C535718	Dubowitz syndrome
C537643	Duplication 4p Syndrome
C535725	Dwarfism tall vertebrae
C535726	Dyggve-Melchior-Clausen syndrome
D004402	Dysautonomia, Familial
C535729	Dyschromatosis symmetrica hereditaria 1
C535731	Dysequilibrium syndrome
D019871	Dyskeratosis Congenita
C537997	Dysplasia epiphysealis hemimelica
C537999	Dyssegmental dysplasia, Rolland-Desbuquois type
C538002	Dystonia 15, myoclonic
C538007	Dystonia, Dopa-responsive
C538011	Eales disease
D004443	Echinococcosis
D004476	Ectodermal Dysplasia
D053358	Ectodermal Dysplasia 1, Anhidrotic
C536180	Ectodermal dysplasia, hidrotic, Christianson-Fourie type
D053360	Ectodermal Dysplasia, Hypohidrotic, Autosomal Recessive
C536183	Ectodermal Dysplasia-Skin Fragility Syndrome
D004479	Ectopia Lentis
D004535	Ehlers-Danlos Syndrome
C536201	Ehlers-Danlos syndrome, progeroid form
C536197	Ehlers-Danlos syndrome type 5
D016873	Ehrlichiosis
C536202	Elastosis perforans serpiginosa
C536203	Elejalde Disease
D004612	Elliptocytosis, Hereditary
D004613	Ellis-Van Creveld Syndrome
C535733	Emanuel syndrome
D004660	Encephalitis
D004670	Encephalitis, California
D004672	Encephalitis, Japanese
D004674	Encephalitis, St. Louis
D004675	Encephalitis, Tick-Borne
D004677	Encephalocele
C535736	Encephalocraniocutaneous lipomatosis
D004687	Enchondromatosis
D009877	Endophthalmitis
D058527	Enteropathy-Associated T-Cell Lymphoma
D016603	Eosinophilia-Myalgia Syndrome
C535952	Eosinophilic enteropathy
D004819	Epidermodysplasia Verruciformis
D016109	Epidermolysis Bullosa, Junctional
C535493	Epidermolysis bullosa, lethal acantholytic
C535962	Epidermolysis bullosa simplex, Ogna type
C535959	Epidermolysis bullosa simplex with mottled pigmentation
D020936	Epilepsy, Benign Neonatal
D020195	Epilepsy, Reflex
C535499	Epilepsy, rolandic with paroxysmal exercise-induced dystonia and writer's cramp
C535497	Epilepsy telangiectasia
C535500	Epileptic encephalopathy, Lennox-Gastaut type
C535501	Epiphyseal dysplasia, multiple, 1
C535504	Epiphyseal dysplasia, multiple, 4
C535505	Epiphyseal dysplasia, multiple, 5
D004842	Epispadias
D031249	Erdheim-Chester Disease
C535508	Ermine phenotype
C535509	Erythema elevatum diutinum
C535738	Erythrokeratodermia with ataxia
D004933	Esophageal Atresia
C535737	Ethylmalonic encephalopathy
C536382	Exudative vitreoretinopathy 1
D000795	Fabry Disease
C536384	FACES syndrome
C536388	Faciocardiorenal syndrome
C536004	Familial apoceruloplasmin deficiency
C537147	Familial benign hypercalcemia, type 3
C536611	Familial cylindromatosis
C536231	familial dilated cardiomyopathy
C535720	Familial duodenal atresia
C536184	Familial ectopia lentis
C536841	Familial encephalopathy with neuroserpin inclusion bodies
D010505	Familial Mediterranean Fever
C536911	Familial medullary thyroid carcinoma
C536961	Familial Testotoxicosis
D005199	Fanconi Anemia
D055577	Farber Lipogranulomatosis
D005203	Farmer's Lung
D005258	Felty Syndrome
C537916	Femoral facial syndrome
C537918	Femur fibula ulna syndrome
C537922	Fetal hydantoin syndrome
C537798	Fetal trimethadione syndrome
D005354	Fibrosarcoma
D005358	Fibrous Dysplasia, Monostotic
D005357	Fibrous Dysplasia of Bone
D005359	Fibrous Dysplasia, Polyostotic
C537930	Fibular aplasia ectrodactyly
D005368	Filariasis
C538152	Filippi syndrome
C537933	Fine-Lubinsky syndrome
C537934	Finnish lethal neonatal metabolic syndrome
C537062	Floating-harbor syndrome
C537063	Florid cemento-osseous dysplasia
C537065	FLOTCH syndrome
C537066	Flynn Aird syndrome
D005489	Focal Dermal Hypoplasia
C537069	Foix Chavany Marie syndrome
C537070	Follicle-stimulating hormone deficiency, isolated
C537270	Fountain syndrome
D005600	Fragile X Syndrome
D058497	Fraser Syndrome
D052159	Frasier Syndrome
C535483	Freeman-Sheldon syndrome
C538523	Free sialic acid storage disease
D005621	Friedreich Ataxia
C538064	Frontometaphyseal dysplasia
C538065	Frontonasal dysplasia
D057180	Frontotemporal Dementia
D005633	Fructose Intolerance
C538068	Fructosuria
C538070	Fryns syndrome
D005645	Fucosidosis
C538189	Fuhrmann syndrome
C538191	Fumaric aciduria
C538192	Furlong syndrome
C538193	Furukawa Takagi Nakao syndrome
D005693	Galactosemias
C537548	Galloway Mowat syndrome
C535407	Gamma aminobutyric acid transaminase deficiency
C535408	Gamma-cystathionase deficiency
D016537	Gangliosidosis, GM1
D005736	Gardner Syndrome
D015408	Gastrinoma
C535651	Gastrocutaneous syndrome
D046152	Gastrointestinal Stromal Tumors
D020139	Gastroschisis
D005776	Gaucher Disease
C537678	Gemignani syndrome
C537682	Geniospasm
C537683	Genito palato cardiac syndrome
D018237	Germinoma
C537799	Gerodermia osteodysplastica
D016098	Gerstmann-Straussler-Scheinker Disease
D005862	Gerstmann Syndrome
D031901	Gestational Trophoblastic Disease
D056768	Giant Axonal Neuropathy
D013700	Giant Cell Arteritis
D005877	Gigantism
D053579	Gitelman Syndrome
D015355	Glaucoma, Neovascular
D005909	Glioblastoma
D005910	Glioma
D015432	Glomerulonephritis, Membranoproliferative
C536825	Glomerulonephritis sparse hair telangiectases
C536827	Glomus vagale tumors
D005935	Glucagonoma
C536833	Glutaric Acidemia I
C536835	Glutathione synthetase deficiency
D006008	Glycogen Storage Disease
D006009	Glycogen Storage Disease Type II
D006012	Glycogen Storage Disease Type V
C537279	Goldberg-Shprintzen megacolon syndrome
C537280	Goldblatt Viljoen syndrome
D006053	Goldenhar Syndrome
D023961	Gonadal Dysgenesis, 46,XX
C537287	Goodman camptodactyly
C537288	Gordon syndrome
D006086	Graft vs Host Disease
C537293	Grant syndrome
D014890	Granulomatosis with Polyangiitis
D006105	Granulomatous Disease, Chronic
D058890	Granulomatous Mastitis
D006106	Granulosa Cell Tumor
D055652	Gray Platelet Syndrome
C537300	Greig cephalopolysyndactyly syndrome
C537301	Griscelli syndrome type 1
C537302	Griscelli syndrome type 2
C537303	Griscelli syndrome type 3
C537621	Grubben de Cock Borghgraef syndrome
C537622	Guanidinoacetate methyltransferase deficiency
D020275	Guillain-Barre Syndrome
D031845	Hajdu-Cheney Syndrome
D006223	Hamartoma Syndrome, Multiple
C535630	Hantavirosis
C535633	Harding ataxia
C535634	Harlequin syndrome
D006250	Hartnup Disease
C535845	Hawkinsinuria
C535850	Heart defects limb shortening
C535849	Heart defect, tongue hamartoma and polysyndactyly
C535852	Heart-hand syndrome, Slovenian type
D006344	Heart Septal Defects, Atrial
D006362	Heavy Chain Disease
D017359	HELLP Syndrome
D018323	Hemangioendothelioma, Epithelioid
C535861	Hemangiomatosis, familial pulmonary capillary
D006393	Hemangiopericytoma
C535862	Hemifacial myohyperplasia
C537247	Hemochromatosis, type 2
C537248	Hemochromatosis, type 3
C537249	Hemochromatosis, type 4
D006445	Hemoglobin C Disease
D006453	Hemoglobinopathies
D006457	Hemoglobinuria, Paroxysmal
D006467	Hemophilia A
D002836	Hemophilia B
D006480	Hemorrhagic Fever with Renal Syndrome
D006504	Hepatic Veno-Occlusive Disease
D018197	Hepatoblastoma
D006527	Hepatolenticular Degeneration
D056828	Hereditary Angioedema Type III
C536482	Hereditary renal agenesis
D009477	Hereditary Sensory and Autonomic Neuropathies
C538112	Hernandez Aguirre-Negrete syndrome
D006627	Hirschsprung Disease
C538119	Hirschsprung disease ganglioneuroblastoma
C538319	Hirschsprung disease type d brachydactyly
C538320	Histidinemia
C538321	Histidinuria renal tubular defect
D054747	Histiocytic Sarcoma
D051677	Histiocytoma, Malignant Fibrous
D006646	Histiocytosis, Langerhans-Cell
D015616	Histiocytosis, Non-Langerhans-Cell
D006660	Histoplasmosis
D006689	Hodgkin Disease
D028922	Holocarboxylase Synthetase Deficiency
D016142	Holoprosencephaly
C535326	Holt-Oram syndrome
C535327	Holzgreve Wagner Rehder syndrome
C535328	Homocarnosinosis
D006725	Hookworm Infections
C536068	Hoyeraal Hreidarsson syndrome
C536072	Hunter-McAlpine syndrome
D006816	Huntington Disease
D057770	Hyalinosis, Systemic
C536075	Hyaloideoretinal degeneration of Wagner
D006828	Hydatidiform Mole
D006832	Hydranencephaly
C536079	Hydrolethalus syndrome
D015160	Hydrops Fetalis
D006925	Hymenolepiasis
D020162	Hyperargininemia
D017681	Hypereosinophilic Syndrome
C538137	Hyperferritinemia, hereditary, with congenital cataracts
C538377	Hyperkeratosis lenticularis perstans
D006952	Hyperlipoproteinemia Type III
D020167	Hyperlysinemias
D006959	Hyperoxaluria
C564166	Hyperparathyroidism 1
C538385	Hyperprolinemia type 2
C566384	Hyperthyroidism, Familial Gestational
D006983	Hypertrichosis
C538388	Hypertrichosis congenital generalized X-linked
D052456	Hypoalphalipoproteinemias
D006995	Hypobetalipoproteinemias
C537145	Hypocalciuric hypercalcemia, familial, type 1
C537146	Hypocalciuric hypercalcemia, familial, type 2
D020514	Hypokalemic Periodic Paralysis
C537154	Hypomandibular faciocranial dysostosis
C537156	Hypoparathyroidism familial isolated
D007014	Hypophosphatasia
D018636	Hypoplastic Left Heart Syndrome
C537160	Hypotrichosis simplex
D007057	Ichthyosis
C537365	Ichthyosis and male hypogonadism
D053560	Ichthyosis Bullosa of Siemens
C536085	Ichthyosis follicularis atrichia photophobia syndrome
C536088	Ichthyosis hystrix, Curth Macklin type
C536087	Ichthyosis hystrix gravior
D017490	Ichthyosis, Lamellar
C536274	Ichthyosis, mental retardation, dwarfism, and renal impairment
C536271	Ichthyosis prematurity syndrome
D016114	Ichthyosis, X-Linked
