entity1	theme	entity2
12-O-tetradecanoylphorbol-13-acetate	treatment	Tumors
12-O-tetradecanoylphorbol-13-acetate	treatment	hepatoma
125iodine	treatment	prostatic_cancer
123I-iomazenil	treatment	hepatic_encephalopathy
1,2:5,6-dianhydrogalactitol	treatment	Yoshida_sarcoma
1,25-OH2D	treatment	hypophosphatemia
111indium-DTPA	treatment	leptomeningeal_metastases
123I-IMP	treatment	epilepsy
123I-metaiodobenzylguanidine	treatment	pheochromocytoma
10B-BPA	treatment	glioblastoma
123I-orthoiodohippurate	treatment	renal_and_urinary_disorders
12-HETE	treatment	leukemic_blasts
1,2-dimethylhydrazine	treatment	tumours
131I	treatment	cytotoxicity
1,2-diacylglycerol	treatment	cardiac_hypertrophy
13C-bicarbonate	treatment	Helicobacter_pylori_infection
1,25-dihydroxyvitamin_D3	treatment	myeloid_leukemia
12-O-tetradecanoylphorbol_13-acetate	treatment	neuroblastoma
13-cis_retinoic_acid	treatment	hormone_refractory_prostate_cancer
1,25-hydroxyvitamin_D	treatment	chronic_renal_failure
12-HETE	treatment	atopic_dermatitis
131I-metaiodobenzylguanidine	treatment	intestinal_carcinoids
11C-labeled_acetate	treatment	non-coronary_artery_disease
11-hydroxycorticosteroid	treatment	accidental_hypothermia
1,2-dimethylhydrazine	treatment	cancer
11-oxo-eicosatetranoic_acid	treatment	atherosclerotic_plaque
12-O-tetradecanoylphorbol13-acetate	treatment	PKC
12-oxo-phytodienoic_acid	treatment	inflammation
1,2-dimethylhydrazine	treatment	NPC
12-O-tetradecanoyl_phorbol-13-acetate	treatment	non-lymphoid_leukemia
1,25-Dihydroxycholecalciferol	treatment	idiopathic_hypoparathyroidism
1,25-dihydroxyvitamin_D3	treatment	brain_disease
1,25-Dihydroxyvitamin_D	treatment	psoriasis
1,2-dimethyl-hydrazine	treatment	colonic_tumors
1-13C_pyruvate	treatment	brain_tumor
11b-hydroxysteroid	treatment	diabetes
12-hydroxyheptadecadienoic	treatment	HHD
11-cis-retinal	treatment	diabetic_retinas
11-dehydro_thromboxane_B2	treatment	CAD
1,2-NQ	treatment	asthma
12-O-tetradecanoylphorbol-13-acetate	treatment	BL
1,2-dimethylhydrazine	treatment	colon_tumors
1,3-benzodioxoles	treatment	tumor
1,25-dihydroxyvitamin_D	treatment	femoral_fracture
1,25-dihydroxyvitamin_D3	treatment	bone_loss
1,25-DHCC	treatment	primary_hyperparathyroidism
1,2-Dichlorobenzene	treatment	liver_damage
12-O-tetradecanoyl-phorbol-13-acetate	treatment	epidermal_hyperplasia
1,1-dichloroethylene	treatment	renal_damage
13C-Hiolein	treatment	steatorrhea
12-O-tetradecanoylphorbol-13-acetate	treatment	myeloid_leukemia
1,25-dihydroxyvitamin_D3	treatment	gastric_cancer
125iodine	treatment	localized_prostate_cancer
1,25-dihydroxyvitamin_D	treatment	cancer
11-deoxyprostaglandin_E1	treatment	hyperalgesia
123I-IMP	treatment	occlusive_cerebrovascular_disease
11-amino-1-undecanethiol	treatment	SAMs
11C-Methionine	treatment	tumor
111-indium_DTPA_octreotide	treatment	colorectal_liver_metastases
13-cis_retinoic_acid	treatment	myelodysplastic_syndromes
10-HDA	treatment	melanoma
111In-pentetreotide	treatment	neuroendocrine_tumors
1,25-dihydroxyvitamin_D3	treatment	hypercalcemia
1,25-dihydroxyvitamin_D3	treatment	milk_fever
131CsCl	treatment	Detection_of_breast_disease
11beta-hydroxysteroid	treatment	metabolic_syndrome
10-microl	treatment	brain_infarction
123I-BMIPP	treatment	mitochondrial_myopathy
1,25-dihydroxyvitamin_D3	treatment	secondary_hyperparathyroidism
11C-methionine	treatment	metastasis
11OHD	treatment	congenital_adrenal_hyperplasia
1,25-dihydroxyvitamin_D3	treatment	chronic_obstructive_pulmonary_disease
1,25-dihydroxy_vitamin_D3	treatment	hepatoma
12-O-tetradecanoylphorbol-13-acetate	treatment	skin_inflammation
12-O-Tetradecanoylphorbol-13-acetate	treatment	acute_lymphocytic_leukemia
1,25-dihydroxyvitamin_D	treatment	leukemia
12-O-tetradecanoyl-phorbol_13-acetate	treatment	PKC
123I-metaiodobenzylguanidine	treatment	IDDM
131I	treatment	DTC
12-O-tetradecanoyl-phorbol-13-acetate	treatment	RA
12-O-tetradecanoylphorbol-13-acetate	treatment	acute_nonlymphocytic_leukemia
123I-Iomazenil	treatment	moyamoya_disease
131I	treatment	cancer
1,25_dihydroxyvitamin_D	treatment	osteoporosis
1,3-b-D-glucan	treatment	intra-abdominal_candidiasis
10-hydroxycamptothecin	treatment	glioma
1,2-Diacylglycerol	treatment	hypertension
111In-octreotide	treatment	small_cell_lung_cancer
1,25D3-MARRS	treatment	breast_cancer
12-O-tetradecanoyl-13-phorbol_acetate	treatment	glioma
1,3,4-thiadiazines	treatment	platelet_aggregation
12-O-tetradecanoylphobol_13-acetate	treatment	PKC
123I-Iolopride	treatment	Parkinsonian_symptoms
12-O-Tetradecanoylphorbol-13-acetate	treatment	PLD
111Indium_pentetreotide	treatment	neural_crest_tumors
1,25-vitamin_D3	treatment	impaired_renal_function
1,25-dihydroxy-vitamin_D3	treatment	multibacillary_leprosy
1,2-trans-dicarboxy-4,5-cyclohexanediols_1-3	treatment	DCCHDs
10-Hydroxycamptothecin	treatment	epidural_fibrosis
1,2,3,6-tetrahydro-N-trichloromethylthiophthalmide	treatment	carcinoma
1,2,4-trichlorobenzene	treatment	Subchronic_toxicity
123I-metaiodobenzylguanidine	treatment	idiopathic_dilated_cardiomyopathy
1,25-dihydroxyvitamin_D3	treatment	promyelocytic_leukaemia
123I-MIBG	treatment	cardiac_diseases
1,25-dihydroxyvitamin_D3	treatment	acute_myelogenous_leukemia
1,2-dimethylhydrazine	treatment	colorectal_tumours
1,2-Dimethylthdrazine	treatment	vascular_neoplasms
12-O-tetradecanoylphorbol-13-acetate	treatment	Epstein-Barr_virus
11C-MET	treatment	gliomas
12-O-tetradecanoylphorbol-13-acetate	treatment	Hyperplasia
071031B	treatment	lower_cytotoxicity
12-O-tetradecanoylphorbol-13-acetate	treatment	PKC
12-O-tetradecanoylphorbol-13-acetate	treatment	B_cell_leukemia
11C-PK11195	treatment	atherosclerosis
1,2-dimethylhydrazine	treatment	preneoplastic_lesions
13C-acetate	treatment	gastric_emptying
10-MDP	treatment	Cervical_Lesions
131I-iodine	treatment	thyroid_cancer
13C-acid	treatment	gastric_emptying
10-Cl-BBQ	treatment	toxicity
10-Hydroxycamptothecine	treatment	RA
123I-beta-methyl_iodophenyl_pentadecanoic_acid	treatment	hypertrophic_cardiomyopathy
111In-octreotide	treatment	pituitary_adenomas
1,25-dihydroxyvitamin_D3	treatment	uremic
1,1,1-trichloroethane	treatment	trickle-bed_air_biofilter
1,25-dihydroxyvitamin_D	treatment	CKD
1,2-Diamino-4,5-Dibromobenzene	treatment	Pancreatic_Cancer
1,2-dimethylhydrazine	treatment	colitis
1,25-dihydroxyvitamin_D3	treatment	alopecia
1,2-sn-Diacylglycerols	treatment	protein_kinase_C
1,25-dihydroxycholecalciferol	treatment	hypophosphataemic_osteomalacia
1,25-Dihydroxyvitamin_D3	treatment	cancer
1,25-D3	treatment	PCa
1,1-Diphenyl-2-picryl-hydrazyl	treatment	Toxicity
125-iodine	treatment	metastatic_tumor
1,2,4-triazole	treatment	platelet_aggregation
1,25-dihydroxyvitamin_D3	treatment	oral_squamous_carcinoma
1,25-dihydroxyvitamin_D3	treatment	postmenopausal_osteoporosis
12-O-tetradecanoylphorbol-13-acetate	treatment	irritant_contact_dermatitis
13C-glucose	treatment	human_immunodeficiency_virus
11a-O-benzoyl-12b-O-acetyltenacigenin_B	treatment	Burkitt_lymphoma
11-oxygenated-C19_androgens	treatment	CAH
1,1-Dichloroethylene	treatment	necrosis
1,2,3-Triazole	treatment	Bacterial_Infections
129Cs	treatment	myocardial_hypoxia
1,2-dimethylhydrazine	treatment	TS
12-O-Tetradecanoylphorbol-13-acetate	treatment	epidermal_hyperplasia
12-hydroxyheptadecatrienoate	treatment	HHT
11b-hydroxysteroid	treatment	type
12-O-tetradecanoylphorbol-13-acetate	treatment	epidermoid_carcinoma
1,25-dihydroxyvitamin_D	treatment	colorectal_tumours
11beta-hydroxysteroid	treatment	congenital_adrenal_hyperplasia
1,2-NQ	treatment	Cataracts
1,1,1,3,3-Pentafluoropropane	treatment	toxicity
1,25-dihydroxyvitamin_D	treatment	hypertension
1,3-butadiene	treatment	BD
13-cis-RA	treatment	lymphomas_of_T-lineage
125I-iothalamate	treatment	renal_insufficiency
131I-metaiodobenzylguanidine	treatment	metastases
11-OCS	treatment	traumatic_shock
1,25-Dihydroxy_vitamin_D3	treatment	osteopenia
1,2-dihydroxybenzene	treatment	convulsive
123I-MEL037	treatment	melanoma_tumor
1,25_dihydroxy_vitamin_D3	treatment	pulmonary_tuberculosis
11-dehydrothromboxane_B2	treatment	angina
111In-Pentetreotide	treatment	small-cell_lung_cancer
123I-metaiodobenzylguanidine	treatment	inferior_myocardial_defect
12-O-Tetradecanoylphorbol-13-acetate	treatment	promyelocytic_leukemia
10398A	treatment	T2DM
12-0-tetradecanoylphorbol-13-acetate	treatment	PDB
1,2-dimethylhydrasine	treatment	HOL
12-O-tetradecanoylphorbol-13-acetate	treatment	hypersensitivity
1,25-dihydroxyvitamin_D3	treatment	leukemia
10-hydroxycamptothecin	treatment	liver_tumors
1,3,5-trioxetanetrione	treatment	unimolecular_dissociation
12-O-tetradecanoylphorbol-13-acetate	treatment	skin_tumors
11C-ACPC	treatment	cancer
123I-Meta-Iodobenzylguanidine	treatment	Dementia
12-0-tetradecanoyl-phorbol-13-acetate	treatment	megakaryoblastic_leukemia
131I	treatment	toxic_goiter
125-iodine	treatment	hypothyroidism
1,2,6-Tri-O-galloyl-beta-D-glucopyranose	treatment	human_immunodeficiency_virus
1,25-dihydroxyvitamin_D	treatment	liver_disease
111-indium-octreotide	treatment	lymph_node_tuberculosis
13bHCl	treatment	tumor
13-cis-retinoic_acid	treatment	acute_promyelocytic_leukemia
11C-sarcosine	treatment	tumor
11C-Choline	treatment	prostate_cancer
10058-F4	treatment	cold_allodynia
1,2-dipalmitoyl-sn-glycero-3-phosphoethanolamine	treatment	cancer
11C-N-methylspiperone	treatment	melanoma
13,14-Dihydro-15-keto_prostaglandin_F2_alpha	treatment	lung_cancer
13762A	treatment	tumor
111In-DTPA-peptide-biotin	treatment	tumor
111In-octreotide	treatment	tumors
123I-metaiodobenzylguanidine	treatment	hypertension
12-O-tetradecanoylphorbol-13-acetate	treatment	erythroleukemia
11-deoxycortisol	treatment	adrenocortical_hyperfunction
11-cis-retinal	treatment	hereditary_blindness
11C-MET	treatment	IHCP
123I-Tyr-3-octreotide	treatment	small-cell_lung_cancer
1,2-dihydroxyvitamin_D	treatment	VD
1,25-dihydroxyvitamin_D3	treatment	psoriasis
125iodine	treatment	prostate_cancer
11-HOCS	treatment	heart_diseases
1,25-dihydroxyvitamin_D3	treatment	neuroblastoma
1,25_OH_vitamin_D	treatment	metastasis
125I	treatment	Hypothyroidism
12-O-tetradecanoylphorbol-13-acetate	treatment	tumor
1,2-dioleoyl-3-trimethylammonium-propane	treatment	cytotoxicity
125I-Propylthiouracil	treatment	melanotic_melanoma
1,2-dichloroethane	treatment	brain_edema
12-O-tetradecanoyl-phorbol-13-acetate	treatment	protein_kinase_C
12-O-tetradecanoylphorbol-13-acetate	treatment	leukemia
12-o-tetradecanoyl_phorbol_13-acetate	treatment	PKC
1,25-dihydroxyvitamin_D3	treatment	renal_failure
10058-F4	treatment	PDAC
1,2_DOG	treatment	PKC
1,1-dichlorodiphenildichloroethane	treatment	DDD
1,25-dihydroxyvitamin_D	treatment	hypercalcemia
10-Hydroxy-2-decenoic_acid	treatment	hyperglycemia
10-hydroxycamptothecin	treatment	promyelocytic_leukemia
1,2-diacylglycerol	treatment	PKC
111In-pentetreotide	treatment	tumours
10-deoxy-10-C-morpholinoethyl	treatment	cytotoxicity
1,25-Dihydroxyvitamin-D3	treatment	DCM
1,2-propanediol	treatment	infection
10-Oxa-5,8-dideazafolic_acid	treatment	tumor
1,25-dihydroxycholecalciferol	treatment	hematologic_and_skeletal_abnormalities
1,2,3,4-butanetetracarboxylic_acid	treatment	toxicity
131I	treatment	hypothyroidism
1,1,1-trichloroethane	treatment	cardiac_toxicity
125iodine	treatment	prostatic_carcinoma
1,1,1-trichloroethane	treatment	poisoning
12-O-tetradecanoyl-phorbol-13-acetate	treatment	chronic_myeloid_leukemia
123I-iodoazomycin_arabinoside	treatment	tumor_hypoxia
1,2,6-IP3	treatment	pain
1,2-dichloropropane	treatment	acute_renal_failure
123I-Tyr3-octreotide	treatment	GEP-tumours
1,2,3,6-methyl-phenyl-tetrahydropyridine	treatment	PD
123I-metaiodobenzylguanidine	treatment	Lewy_body_disease
123I_metaiodobenzylguanidine	treatment	retinoblastoma
11-cis-retinal	treatment	LCA
123I-heptadecanoic_acid	treatment	impaired_glucose_tolerance
125iodine	treatment	adenocarcinoma_of_the_prostate
124-amino-acid	treatment	pancreatic_loop
1,3-BG	treatment	allergic_contact_dermatitis
11beta-OHD	treatment	inherited_disease
123I-IMP	treatment	intracranial_tumors
131I-metaiodobenzylguanidine	treatment	acute_myeloid_leukemia
1,2-diacylglycerol	treatment	ischemic
11-deoxycortisol	treatment	Congenital_adrenal_hyperplasia
1,2-dimethyl-3-hydroxypyrid-4-one	treatment	iron_in_beta_thalassaemia
1,2-dimethylhydrazine	treatment	Colon_carcinogenesis
11-OH_THC	treatment	PHA
1,3-Butanediol	treatment	cholestasis
1,25-dihydroxyvitamin_D3	treatment	autoimmune_thyroiditis
1,1-Dichloroethylene	treatment	pulmonary_injury
10-HDA	treatment	colon_cancer
1,10-phenantroline	treatment	heat_shock
1,2_dimethylhydrazine	treatment	Colorectal_tumours
123I-MIBG	treatment	hepatic_hemangioma
123I-metaiodobenzylguanidine	treatment	KD
13-cis-RA	treatment	peripheral_T-cell_lymphoma
1,25-dihydroxyvitamin_D	treatment	parturient_paresis
111In-pentetreotide	treatment	tumor
1,25-D3	treatment	RA
1,2-Dimethylhydrazine	treatment	colon_cancer
11C-AC	treatment	pulmonary_malignancy
10-gingerol	treatment	colon_cancer
11-deoxycortisol	treatment	congenital_adrenal_hyperplasia
1,25-Dihydroxyvitamin_D3	treatment	increase_in_the_number_of_osteoclastlike_cells
1,25-dihydroxyvitamin_D	treatment	amenorrhea
12-methacryloyloxydodecylpyridinium_bromide	treatment	dentinal_carious_lesions
125iodine	treatment	carcinoma_of_prostate
1,25-dihydroxyvitamin_D	treatment	chronic_kidney_disease
11-deoxycortisol	treatment	early_failure
1,2-dichloroethane	treatment	Impairment_of_lipoglycoprotein_metabolism
111In-PSMA-617	treatment	PCa
1,1,2-trisubstituted-1H-indenes	treatment	Low-valent_Nb
1,1-dichloroethylene	treatment	Lung_injury
1,2-dichloroethane	treatment	copper_nanoparticles
1,2-dimethylhydrazine	treatment	tumor
12139C	treatment	lung_cancer
1,2-DAG	treatment	PDGF
12-O-tetradecanoylphorbol-13-acetate	treatment	skin_carcinogenesis
11-deoxycorticosterone	treatment	hypertension
111In-pentetreotide	treatment	thyroid_carcinoma
125Iodine	treatment	colorectal_adenocarcinoma
123I-15-iodophenyl_3-methyl_pentadecanoic_acid	treatment	myocardial_injury
123I-IMP	treatment	malignant_lymphomas
1,25-dihydroxycholecalciferol	treatment	hypoparathyroidism
1,25-Dihydroxyvitamin_D3	treatment	secondary_hyperparathyroidism
1,25-dihydroxyvitamin-D3	treatment	renal_osteodystrophy
123I-MIBG	treatment	phaeochromocytomas_and_paragangliomas
1,25-dihydroxyvitamin_D3	treatment	VD
13-acetate	treatment	B_lymphoma
12-O-Tetradecanoylphorbol-13-acetate	treatment	protein_kinase_C
12-hydroxyeicosatetraenoic_acid	treatment	diabetes
1,25-Dihydroxyvitamin_D3	treatment	colorectal_carcinoma
13C	treatment	obese
1,2-dimethylhydrazine	treatment	Colonic_cancer
10-ethyl-10-deaza-aminopterin	treatment	head_and_neck
12-O-tetradecanoyl-phorbol-13_acetate	treatment	protein_kinase_C
11,12-epoxyeicosatrienoic_acid	treatment	arrhythmias
11beta-hydroxysteroid	treatment	type
1,2-dichlorohexafluorocyclobutane	treatment	amnesia
123I-orthoiodohippurate	treatment	renal_diseases
1,25-dihydroxyvitamin_D	treatment	inflammatory_myofibroblastic_tumour
1,25-Dihydroxyvitamin_D	treatment	prostate_cancer
12-O-tetradecanoylphorbol_13-acetate	treatment	promyelocytic_leukemia
1,2-dimethylhydrazine	treatment	colon_adenocarcinomas
12-S-HETE	treatment	epithelial_injury
1.2-dichloropropane	treatment	Cholangiocarcinoma
123I-MIBG	treatment	PD
1,25-dihydroxy_vitamin_D3	treatment	renal_osteodystrophy
11-dehydro-CS	treatment	CS
